title,url,date,preview,raw_date
"Bénin : le “Kataklè”, siège royal à trois pieds revient au pays le 13 mai",https://srtb.bj/benin-le-katakle-siege-royal-a-trois-pieds-revient-au-pays-le-13-mai/,2025-07-16,"Le 13 mai 2025, le Musée national de Finlande restitue au Bénin le Kataklè. C’est un tabouret royal cérémoniel pillé lors de la conquête coloniale...",7 mai 2025
Loi sur la chefferie traditionnelle : les explications du gouvernement,https://srtb.bj/2025_04_28_loi_sur_la_chefferie_traditionnelle_les_explications_du_gouvernement/,,"Promulguée, la loi portant cadre juridique de la chefferie traditionnelle au Bénin suscite des incompréhensions. Face aux critiques, l’exécutif clarifie par la voix du porte-parole...",30 avril 2025
[Audio] ‘’Cotonou Comedy Festival’’ : l’humoriste Kromosome annonce les couleurs,https://srtb.bj/2025_04_2025_audio_cotonou_comedy_festival_lhumoriste__kromosome_annonce_les_couleurs/,,"‘’Cotonou Comedy Festival’’ est en préparation pour la fin de l'année 2025. Cet évènement accueillera en décembre 2025, une programmation riche et diversifiée...",23 avril 2025
SRTB : la bibliothèque fait peau neuve grâce au partenariat avec Bénin Excellence,https://srtb.bj/2025_04_18_srtb_le_centre_de_documentation_fait_peau_neuve_grace_au_partenariat_avec_benin_excellence/,,La bibliothèque de la Société de Radio et Télévision du Bénin (SRTB) a été rénovée grâce à un partenariat avec Bénin Excellence. Modernisé et enrichi...,18 avril 2025
Les Tatas du Bénin : patrimoine culturel en péril ?,https://srtb.bj/2025_04_18_les_tatas_du_benin_patrimoine_culturel_en_peril/,,Les Tatas du Bénin sont des constructions traditionnelles qui valorisent l'architecture authentique traditionnelle du peuple Otammari dans l’extrême nord-est du Bénin. Également connues sous le...,18 avril 2025
"Osaka 2025 : au Japon, le Bénin met en lumière son riche patrimoine",https://srtb.bj/osaka-2025-au-japon-le-benin-met-en-lumiere-son-riche-patrimoine/,,"Ouverte ce 13 avril 2025 au Japon, l'exposition universelle Osaka 2025 a drainé de nombreux pays dont le Bénin. Le pays y met en lumière...",14 avril 2025
Décès de José Pliya : le Bénin perd un homme de culture de renom,https://srtb.bj/2025_04_14_deces_jose_pliya_le_benin_perd_un_homme_de_culture_de_renom/,,"José Pliya n’est plus. L'écrivain dramaturge s'est éteint le samedi 12 avril 2025 à Miami aux États-Unis, à presque 59 ans Chargé de mission aux...",14 avril 2025
[Audio] Culture : regards croisés sur la loi sur la chefferie traditionnelle au Bénin,https://srtb.bj/2025_04_11_audio_culture_regards_croises_sur_la_loi_sur_la_chefferie_traditionnelle_au_benin/,2025-11-16,"Au Bénin, les rois et chefs traditionnels ont vu leur statut évoluer avec l'adoption d'une nouvelle loi le 13 mars 2025. Ce texte inédit encadre...",11 avril 2025
Tourisme : le gouvernement crée la société  “Bénin Tours” pour vendre la destination Bénin,https://srtb.bj/tourisme-le-gouvernement-cree-la-societe-benin-tours-pour-vendre-la-destination-benin/,2025-10-16,2025_04_10_tourisme_le_gouvernement_cree_la_societe_benin_tours_pour_vendre_la_destination_benin...,10 avril 2025
Culture : le Bénin s’allie au Groupe Montreux Comedy pour lancer le “Cotonou Comedy Festival”,https://srtb.bj/2025_04_09_culture_le_benin_sallie_au_groupe_montreux_comedy_pour_lancer_le_cotonou_comedy_festival/,2025-09-16,Le Bénin a signé une convention de partenariat avec le Groupe “Montreux Comedy”. Ce groupe est une référence internationale dans le secteur de l'humour. L’objectif...,9 avril 2025
